"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","0.1uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C2","1","10uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C3","1","1uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D1","1","1N4148W","","","","Diode_SMD:D_SOD-123","https://www.vishay.com/docs/85748/1n4148w.pdf"
"D2","1","1N4148W","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"D3","1","LED","","","","Diode_SMD:D_SMA","~"
"D4","1","1N4741ATR","","","","Diode_SMD:D_SOD-123F","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzt52b2v4.pdf"
"D7","1","1N4002","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"J1","1","Conn_01x02_Pin","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-mkdsn-15-2-508-1729128?type=pdf"
"J2,J4","2","Conn_01x04","","","","Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Vertical","~"
"J3","1","Conn_01x06","","","","Connector_PinHeader_1.27mm:PinHeader_1x06_P1.27mm_Vertical","~"
"Q1","1","IRF9540N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf9540n.pdf"
"Q2,Q5,Q6","3","IRL540N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf540n.pdf"
"R1","1","2.2k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R2","1","22k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R3","1","240","","","","Resistor_SMD:R_1206_3216Metric","~"
"R4","1","3.6k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R5,R6","2","1k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R15,R22,R25,R28","4","10k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R20,R24,R27","3","470","","","","Resistor_SMD:R_1206_3216Metric","~"
"R21,R23,R26","3","100","","","","Resistor_SMD:R_1206_3216Metric","~"
"RV1","1","1k","","","","Potentiometer_THT:Potentiometer_ACP_CA14-H4_Horizontal","~"
"RV2,RV4","2","10k","","","","Potentiometer_THT:Potentiometer_ACP_CA14-H4_Horizontal","~"
"U1","1","MCP4921-EP","","","","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/devicedoc/21897a.pdf"
"U2","1","LM317_T","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf"
"U3","1","LT1009xZ","","","","Package_TO_SOT_THT:TO-92L_Inline","https://www.analog.com/media/en/technical-documentation/data-sheets/lt1009.pdf"
"U5","1","MCP3008","","","","Package_DIP:DIP-16_W10.16mm_LongPads","http://ww1.microchip.com/downloads/en/DeviceDoc/21295d.pdf"
"U7","1","OP07","","","","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm741.pdf"
